
Randaugment!
Number of final features: 64
Number of model parameters: 466423
Epoch: [0][10/225]	Time 0.041 (0.264)	Loss 2.9674 (3.5738)	Prec@1 20.312 (18.281)	
Epoch: [0][20/225]	Time 0.053 (0.155)	Loss 1.9594 (2.9163)	Prec@1 25.000 (20.352)	
Epoch: [0][30/225]	Time 0.042 (0.118)	Loss 1.8782 (2.5769)	Prec@1 25.781 (21.641)	
Epoch: [0][40/225]	Time 0.039 (0.100)	Loss 1.7900 (2.3993)	Prec@1 28.125 (22.207)	
Epoch: [0][50/225]	Time 0.042 (0.090)	Loss 1.8582 (2.2889)	Prec@1 27.344 (22.562)	
Epoch: [0][60/225]	Time 0.044 (0.082)	Loss 1.7648 (2.2116)	Prec@1 28.906 (23.112)	
Epoch: [0][70/225]	Time 0.058 (0.077)	Loss 1.8361 (2.1617)	Prec@1 28.906 (23.114)	
Epoch: [0][80/225]	Time 0.039 (0.073)	Loss 1.7230 (2.1166)	Prec@1 28.906 (23.525)	
Epoch: [0][90/225]	Time 0.039 (0.069)	Loss 1.8295 (2.0805)	Prec@1 25.000 (23.941)	
Epoch: [0][100/225]	Time 0.041 (0.067)	Loss 1.8100 (2.0552)	Prec@1 30.469 (24.000)	
Epoch: [0][110/225]	Time 0.042 (0.065)	Loss 1.7772 (2.0329)	Prec@1 31.250 (24.105)	
Epoch: [0][120/225]	Time 0.043 (0.063)	Loss 1.7910 (2.0153)	Prec@1 25.000 (24.062)	
Epoch: [0][130/225]	Time 0.043 (0.061)	Loss 1.7765 (1.9999)	Prec@1 25.000 (24.153)	
Epoch: [0][140/225]	Time 0.038 (0.060)	Loss 1.7549 (1.9852)	Prec@1 29.688 (24.364)	
Epoch: [0][150/225]	Time 0.037 (0.059)	Loss 1.7786 (1.9728)	Prec@1 28.906 (24.359)	
Epoch: [0][160/225]	Time 0.041 (0.058)	Loss 1.8889 (1.9634)	Prec@1 22.656 (24.326)	
Epoch: [0][170/225]	Time 0.043 (0.057)	Loss 1.8017 (1.9544)	Prec@1 22.656 (24.347)	
Epoch: [0][180/225]	Time 0.060 (0.056)	Loss 1.7387 (1.9461)	Prec@1 33.594 (24.384)	
Epoch: [0][190/225]	Time 0.041 (0.055)	Loss 1.7956 (1.9377)	Prec@1 21.094 (24.461)	
Epoch: [0][200/225]	Time 0.048 (0.055)	Loss 1.8570 (1.9314)	Prec@1 20.312 (24.453)	
Epoch: [0][210/225]	Time 0.040 (0.054)	Loss 1.8485 (1.9266)	Prec@1 21.875 (24.479)	
Epoch: [0][220/225]	Time 0.041 (0.054)	Loss 1.8089 (1.9209)	Prec@1 17.188 (24.400)	
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
Test: [0][57/57]	Time 0.019 (0.047)	Loss 1.7890 (1.8008)	Prec@1 20.000 (25.202)	
Best accuracy:  25.20200612984118
Epoch: [1][10/225]	Time 0.038 (0.055)	Loss 1.7888 (1.7961)	Prec@1 27.344 (25.703)	
Epoch: [1][20/225]	Time 0.042 (0.049)	Loss 1.8056 (1.7923)	Prec@1 21.094 (25.352)	
Epoch: [1][30/225]	Time 0.040 (0.048)	Loss 1.7361 (1.7876)	Prec@1 26.562 (25.781)	
Epoch: [1][40/225]	Time 0.044 (0.046)	Loss 1.8309 (1.7915)	Prec@1 22.656 (25.703)	
Epoch: [1][50/225]	Time 0.039 (0.045)	Loss 1.7496 (1.7922)	Prec@1 32.812 (25.969)	
Epoch: [1][60/225]	Time 0.040 (0.044)	Loss 1.8369 (1.7949)	Prec@1 20.312 (26.003)	
Epoch: [1][70/225]	Time 0.037 (0.044)	Loss 1.7559 (1.7975)	Prec@1 31.250 (25.915)	
Epoch: [1][80/225]	Time 0.046 (0.043)	Loss 1.7565 (1.7987)	Prec@1 27.344 (25.781)	
Epoch: [1][90/225]	Time 0.041 (0.043)	Loss 1.7545 (1.7984)	Prec@1 28.125 (25.512)	
Epoch: [1][100/225]	Time 0.041 (0.043)	Loss 1.8344 (1.7994)	Prec@1 21.875 (25.414)	
