
Randaugment!
Number of final features: 405
Number of model parameters: 1018900
Epoch: [0][10/449]	Time 0.075 (0.162)	Loss 5.6047 (5.8726)	Prec@1 23.438 (11.562)	
Epoch: [0][20/449]	Time 0.082 (0.121)	Loss 4.9232 (5.5384)	Prec@1 15.625 (16.328)	
Epoch: [0][30/449]	Time 0.083 (0.110)	Loss 3.8121 (5.1096)	Prec@1 26.562 (17.917)	
Epoch: [0][40/449]	Time 0.081 (0.103)	Loss 3.1452 (4.6598)	Prec@1 20.312 (19.883)	
Epoch: [0][50/449]	Time 0.092 (0.100)	Loss 2.4496 (4.2732)	Prec@1 25.000 (21.062)	
Epoch: [0][60/449]	Time 0.142 (0.100)	Loss 2.4621 (3.9610)	Prec@1 28.125 (22.109)	
Epoch: [0][70/449]	Time 0.140 (0.106)	Loss 2.2707 (3.7115)	Prec@1 28.125 (22.857)	
Epoch: [0][80/449]	Time 0.146 (0.110)	Loss 2.1651 (3.5130)	Prec@1 21.875 (23.281)	
Epoch: [0][90/449]	Time 0.139 (0.113)	Loss 2.0950 (3.3534)	Prec@1 25.000 (23.559)	
Epoch: [0][100/449]	Time 0.152 (0.116)	Loss 1.9941 (3.2178)	Prec@1 28.125 (23.594)	
Epoch: [0][110/449]	Time 0.153 (0.119)	Loss 1.9189 (3.1084)	Prec@1 15.625 (23.807)	
Epoch: [0][120/449]	Time 0.144 (0.121)	Loss 1.8898 (3.0138)	Prec@1 31.250 (23.932)	
Epoch: [0][130/449]	Time 0.149 (0.123)	Loss 1.9672 (2.9352)	Prec@1 26.562 (24.002)	
Epoch: [0][140/449]	Time 0.146 (0.124)	Loss 1.8950 (2.8640)	Prec@1 29.688 (24.062)	
Epoch: [0][150/449]	Time 0.150 (0.127)	Loss 1.8565 (2.7992)	Prec@1 29.688 (24.208)	
Epoch: [0][160/449]	Time 0.208 (0.131)	Loss 1.8282 (2.7418)	Prec@1 29.688 (24.316)	
Epoch: [0][170/449]	Time 0.201 (0.135)	Loss 1.8553 (2.6903)	Prec@1 29.688 (24.430)	
Epoch: [0][180/449]	Time 0.204 (0.139)	Loss 1.8776 (2.6467)	Prec@1 18.750 (24.505)	
Epoch: [0][190/449]	Time 0.206 (0.143)	Loss 1.9270 (2.6052)	Prec@1 21.875 (24.646)	
Epoch: [0][200/449]	Time 0.205 (0.146)	Loss 1.9656 (2.5719)	Prec@1 25.000 (24.609)	
Epoch: [0][210/449]	Time 0.204 (0.149)	Loss 1.8445 (2.5392)	Prec@1 28.125 (24.695)	
Epoch: [0][220/449]	Time 0.204 (0.152)	Loss 1.6998 (2.5106)	Prec@1 34.375 (24.879)	
Epoch: [0][230/449]	Time 0.207 (0.154)	Loss 1.8052 (2.4813)	Prec@1 23.438 (24.769)	
Epoch: [0][240/449]	Time 0.206 (0.156)	Loss 1.8134 (2.4536)	Prec@1 26.562 (24.883)	
Epoch: [0][250/449]	Time 0.204 (0.158)	Loss 1.8853 (2.4307)	Prec@1 15.625 (24.881)	
Epoch: [0][260/449]	Time 0.207 (0.160)	Loss 1.8267 (2.4068)	Prec@1 21.875 (24.928)	
Epoch: [0][270/449]	Time 0.208 (0.162)	Loss 1.7067 (2.3863)	Prec@1 31.250 (25.006)	
Epoch: [0][280/449]	Time 0.206 (0.163)	Loss 1.9363 (2.3669)	Prec@1 10.938 (25.006)	
Epoch: [0][290/449]	Time 0.206 (0.165)	Loss 1.7819 (2.3477)	Prec@1 29.688 (25.081)	
Epoch: [0][300/449]	Time 0.204 (0.166)	Loss 1.7715 (2.3309)	Prec@1 18.750 (25.109)	
Epoch: [0][310/449]	Time 0.207 (0.168)	Loss 1.7503 (2.3141)	Prec@1 32.812 (25.156)	
Epoch: [0][320/449]	Time 0.202 (0.169)	Loss 1.8314 (2.2991)	Prec@1 20.312 (25.117)	
Epoch: [0][330/449]	Time 0.207 (0.170)	Loss 1.7303 (2.2837)	Prec@1 35.938 (25.085)	
Epoch: [0][340/449]	Time 0.208 (0.171)	Loss 1.7513 (2.2689)	Prec@1 35.938 (25.133)	
Epoch: [0][350/449]	Time 0.205 (0.172)	Loss 1.9677 (2.2570)	Prec@1 15.625 (25.156)	
Epoch: [0][360/449]	Time 0.209 (0.173)	Loss 1.7621 (2.2454)	Prec@1 26.562 (25.165)	
