
Randaugment!
Number of final features: 573
Number of model parameters: 1854556
Epoch: [0][10/449]	Time 0.240 (0.534)	Loss 5.9191 (6.1683)	Prec@1 21.875 (10.312)	
Epoch: [0][20/449]	Time 0.234 (0.384)	Loss 4.8979 (5.8067)	Prec@1 25.000 (16.016)	
Epoch: [0][30/449]	Time 0.243 (0.337)	Loss 4.1028 (5.3451)	Prec@1 18.750 (17.760)	
Epoch: [0][40/449]	Time 0.241 (0.312)	Loss 3.2055 (4.8807)	Prec@1 23.438 (19.453)	
Epoch: [0][50/449]	Time 0.243 (0.299)	Loss 2.8103 (4.4756)	Prec@1 28.125 (20.375)	
Epoch: [0][60/449]	Time 0.347 (0.298)	Loss 2.3437 (4.1505)	Prec@1 26.562 (20.885)	
Epoch: [0][70/449]	Time 0.341 (0.304)	Loss 2.0993 (3.8746)	Prec@1 31.250 (21.473)	
Epoch: [0][80/449]	Time 0.343 (0.309)	Loss 1.9822 (3.6563)	Prec@1 28.125 (21.992)	
Epoch: [0][90/449]	Time 0.350 (0.313)	Loss 1.9229 (3.4743)	Prec@1 21.875 (22.465)	
Epoch: [0][100/449]	Time 0.345 (0.316)	Loss 1.9005 (3.3293)	Prec@1 21.875 (22.875)	
Epoch: [0][110/449]	Time 0.348 (0.319)	Loss 1.9352 (3.2003)	Prec@1 28.125 (23.125)	
Epoch: [0][120/449]	Time 0.349 (0.321)	Loss 1.9867 (3.0992)	Prec@1 20.312 (23.268)	
Epoch: [0][130/449]	Time 0.342 (0.323)	Loss 2.0492 (3.0124)	Prec@1 17.188 (23.438)	
Epoch: [0][140/449]	Time 0.350 (0.325)	Loss 1.9277 (2.9332)	Prec@1 37.500 (23.683)	
Epoch: [0][150/449]	Time 0.345 (0.326)	Loss 1.9406 (2.8634)	Prec@1 25.000 (23.698)	
Epoch: [0][160/449]	Time 0.343 (0.328)	Loss 1.9104 (2.8018)	Prec@1 23.438 (23.916)	
Epoch: [0][170/449]	Time 0.345 (0.329)	Loss 1.8864 (2.7517)	Prec@1 21.875 (23.897)	
Epoch: [0][180/449]	Time 0.342 (0.330)	Loss 2.0656 (2.7045)	Prec@1 14.062 (23.967)	
Epoch: [0][190/449]	Time 0.347 (0.331)	Loss 1.8255 (2.6590)	Prec@1 23.438 (23.972)	
Epoch: [0][200/449]	Time 0.350 (0.332)	Loss 1.7808 (2.6191)	Prec@1 26.562 (24.109)	
Epoch: [0][210/449]	Time 0.349 (0.332)	Loss 2.0093 (2.5846)	Prec@1 25.000 (24.196)	
Epoch: [0][220/449]	Time 0.345 (0.333)	Loss 1.9065 (2.5534)	Prec@1 28.125 (24.261)	
Epoch: [0][230/449]	Time 0.346 (0.334)	Loss 1.8698 (2.5244)	Prec@1 26.562 (24.293)	
Epoch: [0][240/449]	Time 0.239 (0.331)	Loss 1.7618 (2.4976)	Prec@1 21.875 (24.258)	
Epoch: [0][250/449]	Time 0.255 (0.328)	Loss 1.8461 (2.4710)	Prec@1 26.562 (24.325)	
Epoch: [0][260/449]	Time 0.334 (0.327)	Loss 1.9444 (2.4490)	Prec@1 23.438 (24.393)	
Epoch: [0][270/449]	Time 0.334 (0.328)	Loss 1.7543 (2.4267)	Prec@1 34.375 (24.404)	
Epoch: [0][280/449]	Time 0.235 (0.326)	Loss 1.9185 (2.4076)	Prec@1 31.250 (24.470)	
Epoch: [0][290/449]	Time 0.351 (0.326)	Loss 1.8360 (2.3889)	Prec@1 21.875 (24.520)	
Epoch: [0][300/449]	Time 0.347 (0.327)	Loss 1.8622 (2.3691)	Prec@1 21.875 (24.646)	
Epoch: [0][310/449]	Time 0.349 (0.327)	Loss 1.7162 (2.3512)	Prec@1 34.375 (24.753)	
Epoch: [0][320/449]	Time 0.348 (0.328)	Loss 2.1112 (2.3346)	Prec@1 26.562 (24.795)	
Epoch: [0][330/449]	Time 0.349 (0.329)	Loss 1.7739 (2.3197)	Prec@1 23.438 (24.782)	
Epoch: [0][340/449]	Time 0.350 (0.329)	Loss 1.8254 (2.3051)	Prec@1 31.250 (24.881)	
Epoch: [0][350/449]	Time 0.349 (0.330)	Loss 1.8674 (2.2920)	Prec@1 31.250 (24.920)	
Epoch: [0][360/449]	Time 0.355 (0.330)	Loss 1.7431 (2.2789)	Prec@1 28.125 (24.948)	
Epoch: [0][370/449]	Time 0.349 (0.331)	Loss 1.7238 (2.2658)	Prec@1 32.812 (25.051)	
Epoch: [0][380/449]	Time 0.353 (0.331)	Loss 1.8085 (2.2538)	Prec@1 32.812 (25.062)	
Epoch: [0][390/449]	Time 0.348 (0.332)	Loss 1.9212 (2.2427)	Prec@1 18.750 (25.108)	
Epoch: [0][400/449]	Time 0.351 (0.332)	Loss 1.7859 (2.2327)	Prec@1 31.250 (25.074)	
Epoch: [0][410/449]	Time 0.351 (0.333)	Loss 1.8060 (2.2226)	Prec@1 31.250 (25.107)	
Epoch: [0][420/449]	Time 0.350 (0.333)	Loss 1.8311 (2.2127)	Prec@1 28.125 (25.167)	
Epoch: [0][430/449]	Time 0.357 (0.333)	Loss 1.7703 (2.2030)	Prec@1 29.688 (25.291)	
Epoch: [0][440/449]	Time 0.352 (0.334)	Loss 1.8178 (2.1940)	Prec@1 20.312 (25.288)	
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
Test: [0][113/113]	Time 2.361 (0.122)	Loss 1.8312 (1.8917)	Prec@1 40.000 (25.063)	
Best accuracy:  25.06269155753692
Epoch: [1][10/449]	Time 0.348 (0.358)	Loss 1.7437 (1.8644)	Prec@1 28.125 (25.938)	
Epoch: [1][20/449]	Time 0.352 (0.354)	Loss 1.8111 (1.8367)	Prec@1 34.375 (27.188)	
Epoch: [1][30/449]	Time 0.349 (0.352)	Loss 1.6977 (1.8212)	Prec@1 34.375 (27.292)	
Epoch: [1][40/449]	Time 0.343 (0.348)	Loss 1.8812 (1.8141)	Prec@1 23.438 (27.383)	
Epoch: [1][50/449]	Time 0.333 (0.346)	Loss 1.8298 (1.8088)	Prec@1 17.188 (27.250)	
Epoch: [1][60/449]	Time 0.352 (0.343)	Loss 1.6943 (1.8056)	Prec@1 25.000 (26.901)	
Epoch: [1][70/449]	Time 0.355 (0.344)	Loss 1.8041 (1.7991)	Prec@1 21.875 (27.143)	
Epoch: [1][80/449]	Time 0.351 (0.345)	Loss 1.8336 (1.7959)	Prec@1 21.875 (27.246)	
Epoch: [1][90/449]	Time 0.349 (0.346)	Loss 1.7296 (1.7992)	Prec@1 32.812 (26.927)	
Epoch: [1][100/449]	Time 0.348 (0.346)	Loss 1.7841 (1.7984)	Prec@1 25.000 (27.109)	
Epoch: [1][110/449]	Time 0.347 (0.346)	Loss 1.8205 (1.7993)	Prec@1 21.875 (27.060)	
Epoch: [1][120/449]	Time 0.246 (0.340)	Loss 1.7604 (1.7988)	Prec@1 31.250 (27.214)	
Epoch: [1][130/449]	Time 0.251 (0.333)	Loss 1.6787 (1.7989)	Prec@1 31.250 (27.308)	
Epoch: [1][140/449]	Time 0.259 (0.327)	Loss 1.7914 (1.7995)	Prec@1 32.812 (27.254)	
Epoch: [1][150/449]	Time 0.341 (0.326)	Loss 1.7820 (1.7967)	Prec@1 25.000 (27.354)	
Epoch: [1][160/449]	Time 0.344 (0.328)	Loss 1.6675 (1.7991)	Prec@1 39.062 (27.295)	
Epoch: [1][170/449]	Time 0.356 (0.329)	Loss 1.8068 (1.7994)	Prec@1 25.000 (27.270)	
