
Randaugment!
Number of final features: 678
Number of model parameters: 2499301
Epoch: [0][10/449]	Time 0.442 (1.218)	Loss 6.1582 (6.3584)	Prec@1 14.062 (10.000)	
Epoch: [0][20/449]	Time 0.436 (0.831)	Loss 5.0428 (5.9699)	Prec@1 31.250 (16.250)	
Epoch: [0][30/449]	Time 0.441 (0.702)	Loss 3.9237 (5.4847)	Prec@1 29.688 (17.969)	
Epoch: [0][40/449]	Time 0.445 (0.638)	Loss 3.1173 (5.0006)	Prec@1 26.562 (19.648)	
Epoch: [0][50/449]	Time 0.443 (0.599)	Loss 2.7540 (4.5765)	Prec@1 28.125 (21.188)	
Epoch: [0][60/449]	Time 0.447 (0.573)	Loss 2.3841 (4.2275)	Prec@1 12.500 (22.214)	
Epoch: [0][70/449]	Time 0.442 (0.555)	Loss 2.3896 (3.9639)	Prec@1 18.750 (22.366)	
Epoch: [0][80/449]	Time 0.452 (0.541)	Loss 2.1153 (3.7422)	Prec@1 35.938 (23.105)	
Epoch: [0][90/449]	Time 0.447 (0.531)	Loss 2.0694 (3.5634)	Prec@1 20.312 (23.333)	
Epoch: [0][100/449]	Time 0.444 (0.522)	Loss 2.1625 (3.4134)	Prec@1 26.562 (23.609)	
Epoch: [0][110/449]	Time 0.447 (0.515)	Loss 1.8383 (3.2884)	Prec@1 28.125 (23.608)	
Epoch: [0][120/449]	Time 0.443 (0.509)	Loss 1.9609 (3.1779)	Prec@1 26.562 (23.633)	
Epoch: [0][130/449]	Time 0.445 (0.505)	Loss 2.1205 (3.0842)	Prec@1 18.750 (23.846)	
Epoch: [0][140/449]	Time 0.327 (0.499)	Loss 2.1006 (3.0055)	Prec@1 12.500 (23.839)	
Epoch: [0][150/449]	Time 0.307 (0.487)	Loss 1.9399 (2.9338)	Prec@1 23.438 (23.979)	
Epoch: [0][160/449]	Time 0.432 (0.481)	Loss 1.9934 (2.8712)	Prec@1 18.750 (23.955)	
Epoch: [0][170/449]	Time 0.432 (0.478)	Loss 1.8273 (2.8117)	Prec@1 37.500 (24.044)	
Epoch: [0][180/449]	Time 0.445 (0.471)	Loss 1.8739 (2.7613)	Prec@1 28.125 (24.045)	
Epoch: [0][190/449]	Time 0.444 (0.470)	Loss 1.9483 (2.7119)	Prec@1 21.875 (24.359)	
Epoch: [0][200/449]	Time 0.445 (0.469)	Loss 1.8556 (2.6689)	Prec@1 25.000 (24.484)	
Epoch: [0][210/449]	Time 0.447 (0.468)	Loss 1.7930 (2.6320)	Prec@1 29.688 (24.442)	
Epoch: [0][220/449]	Time 0.446 (0.467)	Loss 1.7831 (2.5982)	Prec@1 25.000 (24.489)	
Epoch: [0][230/449]	Time 0.448 (0.466)	Loss 1.7705 (2.5665)	Prec@1 21.875 (24.423)	
Epoch: [0][240/449]	Time 0.441 (0.465)	Loss 1.8337 (2.5357)	Prec@1 25.000 (24.518)	
Epoch: [0][250/449]	Time 0.449 (0.465)	Loss 1.7191 (2.5096)	Prec@1 28.125 (24.531)	
Epoch: [0][260/449]	Time 0.444 (0.464)	Loss 1.8384 (2.4838)	Prec@1 20.312 (24.471)	
Epoch: [0][270/449]	Time 0.446 (0.463)	Loss 1.8166 (2.4589)	Prec@1 26.562 (24.450)	
Epoch: [0][280/449]	Time 0.450 (0.463)	Loss 1.8728 (2.4371)	Prec@1 25.000 (24.336)	
Epoch: [0][290/449]	Time 0.445 (0.462)	Loss 1.7141 (2.4179)	Prec@1 31.250 (24.364)	
Epoch: [0][300/449]	Time 0.445 (0.462)	Loss 1.9350 (2.4002)	Prec@1 21.875 (24.385)	
Epoch: [0][310/449]	Time 0.320 (0.460)	Loss 1.8346 (2.3832)	Prec@1 25.000 (24.420)	
Epoch: [0][320/449]	Time 0.327 (0.455)	Loss 1.7199 (2.3662)	Prec@1 28.125 (24.370)	
Epoch: [0][330/449]	Time 0.439 (0.453)	Loss 1.8827 (2.3498)	Prec@1 25.000 (24.347)	
Epoch: [0][340/449]	Time 0.439 (0.452)	Loss 1.8387 (2.3346)	Prec@1 23.438 (24.393)	
Epoch: [0][350/449]	Time 0.443 (0.452)	Loss 1.9126 (2.3220)	Prec@1 18.750 (24.299)	
Epoch: [0][360/449]	Time 0.309 (0.449)	Loss 1.7707 (2.3082)	Prec@1 31.250 (24.358)	
Epoch: [0][370/449]	Time 0.450 (0.448)	Loss 1.7838 (2.2951)	Prec@1 25.000 (24.383)	
Epoch: [0][380/449]	Time 0.451 (0.448)	Loss 2.0069 (2.2832)	Prec@1 23.438 (24.420)	
Epoch: [0][390/449]	Time 0.434 (0.448)	Loss 1.7944 (2.2717)	Prec@1 26.562 (24.455)	
Epoch: [0][400/449]	Time 0.434 (0.448)	Loss 1.9083 (2.2603)	Prec@1 14.062 (24.504)	
Epoch: [0][410/449]	Time 0.449 (0.447)	Loss 1.7351 (2.2495)	Prec@1 26.562 (24.486)	
Epoch: [0][420/449]	Time 0.448 (0.447)	Loss 1.7709 (2.2391)	Prec@1 26.562 (24.542)	
Epoch: [0][430/449]	Time 0.447 (0.447)	Loss 1.8428 (2.2301)	Prec@1 17.188 (24.531)	
Epoch: [0][440/449]	Time 0.450 (0.447)	Loss 1.8331 (2.2208)	Prec@1 29.688 (24.577)	
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
Test: [0][113/113]	Time 2.597 (0.154)	Loss 1.8281 (1.8756)	Prec@1 20.000 (25.007)	
Best accuracy:  25.006965728615214
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
Epoch: [1][10/449]	Time 0.445 (0.456)	Loss 1.8755 (1.8478)	Prec@1 14.062 (21.406)	
Epoch: [1][20/449]	Time 0.449 (0.452)	Loss 1.7691 (1.8339)	Prec@1 23.438 (24.141)	
Epoch: [1][30/449]	Time 0.453 (0.450)	Loss 1.7257 (1.8255)	Prec@1 34.375 (24.583)	
Epoch: [1][40/449]	Time 0.445 (0.450)	Loss 1.7671 (1.8243)	Prec@1 25.000 (25.234)	
Epoch: [1][50/449]	Time 0.451 (0.450)	Loss 1.8296 (1.8243)	Prec@1 26.562 (25.094)	
Epoch: [1][60/449]	Time 0.448 (0.449)	Loss 1.8576 (1.8281)	Prec@1 26.562 (25.234)	
Epoch: [1][70/449]	Time 0.448 (0.449)	Loss 1.7425 (1.8188)	Prec@1 32.812 (25.871)	
Epoch: [1][80/449]	Time 0.446 (0.449)	Loss 1.7662 (1.8177)	Prec@1 31.250 (25.996)	
Epoch: [1][90/449]	Time 0.446 (0.449)	Loss 1.8996 (1.8197)	Prec@1 20.312 (25.729)	
Epoch: [1][100/449]	Time 0.430 (0.448)	Loss 1.8530 (1.8171)	Prec@1 23.438 (25.562)	
Epoch: [1][110/449]	Time 0.430 (0.446)	Loss 1.7330 (1.8148)	Prec@1 26.562 (25.824)	
Epoch: [1][120/449]	Time 0.446 (0.445)	Loss 1.8337 (1.8158)	Prec@1 26.562 (25.534)	
Epoch: [1][130/449]	Time 0.449 (0.445)	Loss 1.7119 (1.8119)	Prec@1 28.125 (25.745)	
Epoch: [1][140/449]	Time 0.450 (0.446)	Loss 1.7842 (1.8117)	Prec@1 23.438 (25.714)	
Epoch: [1][150/449]	Time 0.448 (0.446)	Loss 1.7935 (1.8120)	Prec@1 25.000 (25.594)	
Epoch: [1][160/449]	Time 0.449 (0.446)	Loss 1.8144 (1.8095)	Prec@1 18.750 (25.547)	
Epoch: [1][170/449]	Time 0.448 (0.446)	Loss 1.8050 (1.8076)	Prec@1 26.562 (25.708)	
Epoch: [1][180/449]	Time 0.450 (0.446)	Loss 1.8200 (1.8078)	Prec@1 23.438 (25.720)	
Epoch: [1][190/449]	Time 0.451 (0.446)	Loss 1.7447 (1.8063)	Prec@1 37.500 (25.839)	
Epoch: [1][200/449]	Time 0.441 (0.446)	Loss 1.8773 (1.8070)	Prec@1 25.000 (25.875)	
Epoch: [1][210/449]	Time 0.441 (0.446)	Loss 1.8390 (1.8073)	Prec@1 15.625 (25.804)	
Epoch: [1][220/449]	Time 0.441 (0.446)	Loss 1.8667 (1.8059)	Prec@1 23.438 (25.810)	
Epoch: [1][230/449]	Time 0.445 (0.443)	Loss 1.8872 (1.8048)	Prec@1 23.438 (25.904)	
Epoch: [1][240/449]	Time 0.448 (0.444)	Loss 1.7704 (1.8034)	Prec@1 20.312 (26.003)	
Epoch: [1][250/449]	Time 0.454 (0.444)	Loss 1.8217 (1.8036)	Prec@1 25.000 (26.094)	
Epoch: [1][260/449]	Time 0.450 (0.444)	Loss 1.7933 (1.8033)	Prec@1 25.000 (26.124)	
Epoch: [1][270/449]	Time 0.446 (0.444)	Loss 1.7455 (1.8039)	Prec@1 34.375 (26.215)	
